terminalName,Street Address,location,Bikes Available,Docks Empty,Total Station Capacity,Time Imported
31044,King St & Patrick St,"(38.805317, -77.049883)",1,13,14,12:23:20
31254,15th & K St NW,"(38.902, -77.03353)",6,20,26,12:23:20
31045,Commerce St & Fayette St,"(38.805648, -77.05293)",10,5,15,12:23:20
31046,Henry St & Pendleton St,"(38.811456, -77.050276)",9,8,17,12:23:20
31047,Braddock Rd Metro,"(38.814577, -77.052808)",15,14,29,12:23:20
31048,King St Metro South,"(38.805767, -77.06072)",14,9,23,12:23:20
31255,24th & N St NW,"(38.9066, -77.05152)",1,12,13,12:23:20
31256,10th & E St NW,"(38.895914, -77.026064)",4,11,15,12:23:20
31257,22nd & I St NW / Foggy Bottom,"(38.90088, -77.048911)",7,8,15,12:23:20
31049,Utah St & 11th St N ,"(38.883669, -77.113905)",1,10,11,12:23:20
31050,Barton St & 10th St N,"(38.884961, -77.08777)",6,5,11,12:23:20
31051,Arlington Blvd & N Queen St,"(38.889365, -77.077294)",6,5,11,12:23:20
31258,Lincoln Memorial,"(38.888251, -77.049426)",11,13,24,12:23:20
31259,20th St & Virginia Ave NW,"(38.894722, -77.045128)",7,8,15,12:23:20
31265,5th St & Massachusetts Ave NW,"(38.90093, -77.018677)",12,7,19,12:23:20
31308,39th & Veazey St NW,"(38.943837, -77.077078)",3,11,14,12:23:20
31309,Fessenden St & Wisconsin Ave NW,"(38.954812, -77.082426)",6,9,15,12:23:20
31627,3rd & M St NE,"(38.905469714943266, -77.0021304488182)",18,4,22,12:23:20
31053,Columbia Pike & S Courthouse Rd,"(38.863833, -77.080319)",2,13,15,12:23:20
31054,Walter Reed Community Center / Walter Reed Dr & 16th St S,"(38.857803, -77.086733)",4,7,11,12:23:20
31055,28th St S & S Meade St,"(38.846222, -77.069275)",7,7,14,12:23:20
31114,18th St & Wyoming Ave NW,"(38.918809, -77.041571)",2,19,21,12:23:20
31403,5th & Kennedy St NW,"(38.956555547721955, -77.0198142528534)",11,4,15,12:23:20
31405,Georgia Ave & Emerson St NW,"(38.949662, -77.027333)",8,9,17,12:23:20
31406,14th & Upshur St NW,"(38.942016, -77.032652)",4,14,18,12:23:20
31407,14th St & Colorado Ave NW,"(38.956432, -77.032947)",6,13,19,12:23:20
31056,S Troy St & 26th St S,"(38.847977, -77.075104)",1,10,11,12:23:20
31057,S Four Mile Run Dr & S Shirlington Rd,"(38.8444, -77.085931)",3,6,9,12:23:20
31058,S Oakland St & Columbia Pike,"(38.860789, -77.09586)",8,3,11,12:23:20
31059,S Four Mile Run & Walter Reed Dr,"(38.84736, -77.095431)",1,10,11,12:23:20
31060,S Arlington Mill Dr & Campbell Ave,"(38.84232, -77.089555)",9,6,15,12:23:20
31061,S Kenmore & 24th St S,"(38.848454, -77.084918)",4,6,10,12:23:20
32006,13th St & Eastern Ave,"(38.987, -77.029417)",10,4,14,12:23:20
31312,Wisconsin Ave & O St NW,"(38.90849, -77.063586)",3,15,18,12:23:20
31062,Roosevelt Island,"(38.896553, -77.06714)",3,9,12,12:23:20
31310,Connecticut & Nebraska Ave NW,"(38.955016, -77.069956)",15,8,23,12:23:20
31267,17th St & Massachusetts Ave NW,"(38.908142, -77.038359)",1,17,18,12:23:20
31117,15th & Euclid St  NW,"(38.92333, -77.0352)",5,9,14,12:23:20
31629,8th & East Capitol St NE,"(38.889988, -76.995193)",6,4,10,12:23:20
31509,New Jersey Ave & R St NW,"(38.912659, -77.017669)",4,10,14,12:23:20
31630,15th & East Capitol St NE,"(38.889908, -76.983326)",7,4,11,12:23:20
31631,8th & F St NE,"(38.897274, -76.994749)",8,7,15,12:23:20
31510,18th St & Rhode Island Ave NE,"(38.927095, -76.978924)",11,4,15,12:23:20
31632,15th & F St NE,"(38.897195, -76.983575)",5,13,18,12:23:20
31511,12th & Irving St NE,"(38.928644, -76.990955)",4,11,15,12:23:20
31800,Alabama & MLK Ave SE,"(38.84322988730829, -76.99937582015991)",4,7,11,12:23:20
31807,Pleasant St & MLK Ave SE,"(38.863897, -76.990037)",8,3,11,12:23:20
31512,Neal St & Trinidad Ave NE,"(38.903732, -76.987211)",7,5,12,12:23:20
31268,12th & U St NW,"(38.916787, -77.028139)",6,25,31,12:23:20
31063,S George Mason Dr & Four Mile Run,"(38.852248, -77.105022)",8,2,10,12:23:20
31064,S Stafford & 34th St S,"(38.834108, -77.087323)",5,6,11,12:23:20
31065,N Pershing Dr & Wayne St,"(38.880705, -77.08596)",3,7,10,12:23:20
31066,Columbia Pike & S Orme St,"(38.867262, -77.072315)",5,5,10,12:23:20
31269,3rd St & Pennsylvania Ave SE,"(38.887378, -77.001955)",3,11,14,12:23:20
31270,8th & D St NW,"(38.894851, -77.02324)",9,6,15,12:23:20
31118,3rd & Elm St NW,"(38.917622, -77.01597)",6,9,15,12:23:20
31513,Rhode Island Ave & V St NE,"(38.918155, -77.004746)",6,13,19,12:23:20
31271,Constitution Ave & 2nd St NW/DOL,"(38.892275, -77.013917)",7,20,27,12:23:20
31272,Washington & Independence Ave SW/HHS,"(38.886978, -77.013769)",11,19,30,12:23:20
31633,Independence Ave & L'Enfant Plaza SW/DOE,"(38.887312, -77.025762)",5,10,15,12:23:20
31514,Hamlin & 7th St NE,"(38.927497, -76.997194)",5,8,13,12:23:20
31067,Columbia Pike & S Walter Reed Dr,"(38.862478, -77.086599)",7,3,10,12:23:20
31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,"(38.856319, -77.11153)",5,8,13,12:23:20
31069,Pershing & N George Mason Dr,"(38.871822, -77.107906)",0,10,10,12:23:20
32001,Fenton St & New York Ave ,"(38.985404, -77.023082)",5,10,15,12:23:20
32002,Bethesda Ave & Arlington Rd,"(38.981103, -77.097426)",5,14,19,12:23:20
32003,Montgomery Ave & Waverly St ,"(38.983838, -77.09221)",2,9,11,12:23:20
32004,Fallsgrove Blvd & Fallsgrove Dr,"(39.096312, -77.192672)",13,6,19,12:23:20
32005,Traville Gateway Dr & Gudelsky Dr,"(39.093783, -77.202501)",9,10,19,12:23:20
32000,Norfolk Ave & Fairmont St,"(38.988562, -77.096539)",9,2,11,12:23:20
32007,E Montgomery Ave & Maryland Ave,"(39.084125, -77.151291)",4,11,15,12:23:20
32008,Cordell & Norfolk Ave,"(38.98954, -77.098029)",1,10,11,12:23:20
32010,Philadelphia & Maple Ave,"(38.98128, -77.011336)",12,3,15,12:23:20
32011,Maple & Ritchie Ave,"(38.983627, -77.006311)",10,9,19,12:23:20
32012,Silver Spring Metro/Colesville Rd & Wayne Ave,"(38.99521, -77.02918)",8,10,18,12:23:20
32013,Montgomery & East Ln,"(38.983525, -77.095367)",5,6,11,12:23:20
32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,"(38.961763, -77.085998)",7,12,19,12:23:20
31119,14th & Belmont St NW,"(38.921074, -77.031887)",7,8,15,12:23:20
31634,3rd & Tingey St SE,"(38.87501, -77.0024)",2,16,18,12:23:20
31120,10th & Florida Ave NW,"(38.920387, -77.025672)",11,6,17,12:23:20
31635,Potomac Ave & 8th St SE,"(38.876737, -76.994468)",8,7,15,12:23:20
32015,Crabbs Branch Way & Redland Rd,"(39.120045, -77.156985)",7,8,15,12:23:20
32016,Fallsgrove Dr & W Montgomery Ave,"(39.099376, -77.188014)",7,8,15,12:23:20
32017,Monroe St & Monroe Pl,"(39.083673, -77.149162)",12,3,15,12:23:20
32018,Needwood Rd & Eagles Head Ct,"(39.123513, -77.15741)",7,8,15,12:23:20
32019,East West Hwy & Blair Mill Rd,"(38.990249, -77.02935)",5,10,15,12:23:20
32020,Crabbs Branch Way & Calhoun Pl,"(39.107709, -77.152072)",8,7,15,12:23:20
32021,47th & Elm St,"(38.982456, -77.091991)",3,12,15,12:23:20
32022,Dennis & Amherst Ave,"(39.02538719623632, -77.04456299543381)",6,8,14,12:23:20
32023,Montgomery College/W Campus Dr & Mannakee St,"(39.095661, -77.159048)",14,7,21,12:23:20
32024,Fenton St & Gist Ave,"(38.989724, -77.023854)",10,1,11,12:23:20
32025,Carroll & Westmoreland Ave,"(38.975, -77.01121)",7,8,15,12:23:20
32026,Carroll & Ethan Allen Ave,"(38.977933, -77.006472)",5,10,15,12:23:20
32027,Battery Ln & Trolley Trail,"(38.992375, -77.100104)",8,7,15,12:23:20
32028,Norfolk & Rugby Ave,"(38.990639, -77.100239)",4,7,11,12:23:20
32029,Offutt Ln & Chevy Chase Dr,"(38.977093, -77.094589)",7,4,11,12:23:20
32030,Broschart & Blackwell Rd,"(39.102099, -77.200322)",6,9,15,12:23:20
32031,Taft St & E Gude Dr,"(39.094103, -77.132954)",3,12,15,12:23:20
32032,Fleet St & Ritchie Pkwy,"(39.076331, -77.141378)",9,6,15,12:23:20
32033,Piccard & W Gude Dr,"(39.102212, -77.177091)",7,12,19,12:23:20
32034,Ripley & Bonifant St,"(38.992679, -77.029457)",5,10,15,12:23:20
32035,Georgia Ave & Spring St,"(38.999388, -77.031555)",8,3,11,12:23:20
32036,Fenton St & Ellsworth Dr ,"(38.997033, -77.025608)",5,10,15,12:23:20
32037,King Farm Blvd & Pleasant Dr,"(39.114688, -77.171487)",10,8,18,12:23:20
32038,King Farm Blvd & Piccard Dr,"(39.110314, -77.182669)",6,8,14,12:23:20
31121,Calvert St & Woodley Pl NW,"(38.923583, -77.050046)",13,5,18,12:23:20
31636,New Jersey Ave & N St NW/Dunbar HS,"(38.90706, -77.015231)",13,6,19,12:23:20
31710,Nannie Helen Burroughs Ave & 49th St NE,"(38.898536, -76.931862)",8,2,10,12:23:20
31711,Deanwood Rec Center,"(38.908473, -76.933099)",11,4,15,12:23:20
31273,Hains Point/Buckeye & Ohio Dr SW,"(38.878433, -77.03023)",5,10,15,12:23:20
31070,Arlington Blvd & Fillmore St,"(38.873755, -77.089233)",5,5,10,12:23:20
31071,Long Bridge Park/Long Bridge Dr & 6th St S,"(38.86646, -77.04826)",3,8,11,12:23:20
32039,Old Georgetown Rd & Southwick St,"(38.999634, -77.109647)",11,8,19,12:23:20
32040,Friendship Blvd & Willard Ave,"(38.96115, -77.088659)",7,12,19,12:23:20
31637,North Capitol St & G Pl NE,"(38.899703, -77.008911)",10,8,18,12:23:20
31072,31st & Woodrow St S,"(38.837666, -77.09482)",6,5,11,12:23:20
31073,Washington Blvd & Walter Reed Dr ,"(38.873219, -77.082104)",11,4,15,12:23:20
31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,"(38.869418, -77.095596)",3,12,15,12:23:20
31313,Connecticut Ave & Tilden St NW,"(38.941154, -77.062036)",10,5,15,12:23:20
32041,Medical Center Dr & Key West Ave,"(39.103091, -77.196442)",7,8,15,12:23:20
32042,Shady Grove Hospital,"(39.097636, -77.196636)",8,11,19,12:23:20
32043,Veterans Pl & Pershing Dr ,"(38.997445, -77.023894)",5,6,11,12:23:20
32044,Rockville Metro East,"(39.085394, -77.145803)",8,5,13,12:23:20
31638,1st & H St NW,"(38.900358, -77.012108)",2,13,15,12:23:20
31515,Fort Totten Metro,"(38.952369, -77.002721)",9,9,18,12:23:20
31408,Takoma Metro,"(38.975219, -77.016855)",7,10,17,12:23:20
31516,Rhode Island Ave Metro,"(38.920682, -76.995876)",0,18,18,12:23:20
31075,Rolfe St & 9th St S,"(38.866471, -77.076131)",0,11,11,12:23:20
31076,Shirlington Transit Center / S Quincy & Randolph St,"(38.839912, -77.087083)",8,7,15,12:23:20
32045,Shady Grove Metro West,"(39.119765, -77.166093)",5,14,19,12:23:20
32046,River Rd & Landy Ln,"(38.964992, -77.103381)",6,13,19,12:23:20
32047,Rockville Metro West,"(39.084379, -77.146866)",5,14,19,12:23:20
